,additional_charges,dropoff_census_tract,dropoff_centroid_latitude,dropoff_centroid_location,dropoff_centroid_longitude,dropoff_community_area,fare,pickup_census_tract,pickup_centroid_latitude,pickup_centroid_location,pickup_centroid_longitude,pickup_community_area,shared_trip_authorized,tip,trip_end_timestamp,trip_id,trip_miles,trip_seconds,trip_start_timestamp,trip_total,trips_pooled
43,2.55,17031080100,41.9075200747,"{u'type': u'Point', u'coordinates': [-87.6266589003, 41.9075200747]}",-87.6266589003,8,5,17031081100,41.9002212967,"{u'type': u'Point', u'coordinates': [-87.6291051864, 41.9002212967]}",-87.6291051864,8,False,0,2019-12-31T23:45:00.000,bad1898dd4ea7e0609979fe47f22ffbb5c66e9a4,0.882377,354,2019-12-31T23:45:00.000,7.55,1
44,2.55,,41.8390869059,"{u'type': u'Point', u'coordinates': [-87.714003807, 41.8390869059]}",-87.714003807,30,7.5,,41.874005383,"{u'type': u'Point', u'coordinates': [-87.6635175498, 41.874005383]}",-87.6635175498,28,False,0,2020-01-01T00:00:00.000,c234a1c7d6b2a047c2f6707bfcda46697cd9cba9,3.340891,590,2019-12-31T23:45:00.000,10.05,1
45,2.55,17031062800,41.936159071,"{u'type': u'Point', u'coordinates': [-87.6612652184, 41.936159071]}",-87.6612652184,6,2.5,17031061500,41.9452823311,"{u'type': u'Point', u'coordinates': [-87.6615450961, 41.9452823311]}",-87.6615450961,6,False,0,2020-01-01T00:00:00.000,c7625d852e2e16ff2571a18a0e11e594215460ff,0.913732,247,2019-12-31T23:45:00.000,5.05,1
46,4.77,,41.9000696026,"{u'type': u'Point', u'coordinates': [-87.7209182385, 41.9000696026]}",-87.7209182385,23,15,,41.8571838585,"{u'type': u'Point', u'coordinates': [-87.6203346241, 41.8571838585]}",-87.6203346241,33,False,4,2020-01-01T00:00:00.000,cccd9a84a236376328d0ee1c9a28044bfc3ed0ea,9.486566,996,2019-12-31T23:45:00.000,23.77,1
47,2.55,,42.001571027,"{u'type': u'Point', u'coordinates': [-87.6950125892, 42.001571027]}",-87.6950125892,2,7.5,,41.968069,"{u'type': u'Point', u'coordinates': [-87.7215590627, 41.968069]}",-87.7215590627,14,False,0,2019-12-31T23:45:00.000,d407b282f07f6ad03987497966842bfc862ec7fe,3.235376,774,2019-12-31T23:45:00.000,10.05,1
48,2.55,17031081401,41.8950334495,"{u'type': u'Point', u'coordinates': [-87.6197106717, 41.8950334495]}",-87.6197106717,8,10,17031842200,41.9049353016,"{u'type': u'Point', u'coordinates': [-87.6499072264, 41.9049353016]}",-87.6499072264,8,False,0,2020-01-01T00:00:00.000,dd7246cf6eea76641bef143d7cf02cbcb88766fb,3.408941,915,2019-12-31T23:45:00.000,12.55,1
49,2.55,17031839100,41.8809944707,"{u'type': u'Point', u'coordinates': [-87.6327464887, 41.8809944707]}",-87.6327464887,32,2.5,17031839100,41.8809944707,"{u'type': u'Point', u'coordinates': [-87.6327464887, 41.8809944707]}",-87.6327464887,32,False,0,2019-12-31T23:45:00.000,e38cbc78960a319704bfcdf8c180c06d75730386,0.18352,127,2019-12-31T23:45:00.000,5.05,1
50,2.85,17031220400,41.9284315635,"{u'type': u'Point', u'coordinates': [-87.6999685912, 41.9284315635]}",-87.6999685912,22,7.5,17031221400,41.9208017043,"{u'type': u'Point', u'coordinates': [-87.6945323419, 41.9208017043]}",-87.6945323419,22,False,0,2019-12-31T23:45:00.000,ebaf76b271bc55ffaf0f03bef7587101c52c1292,0.427737,207,2019-12-31T23:45:00.000,10.35,1
51,2.55,17031210501,41.9374017942,"{u'type': u'Point', u'coordinates': [-87.7223302976, 41.9374017942]}",-87.7223302976,21,12.5,17031081500,41.8925077809,"{u'type': u'Point', u'coordinates': [-87.6262149064, 41.8925077809]}",-87.6262149064,8,False,0,2020-01-01T00:00:00.000,f1fa003486c6917db43cfedf3e2c8eab160cf80d,6.663872,981,2019-12-31T23:45:00.000,15.05,1
52,2.55,,41.9939301285,"{u'type': u'Point', u'coordinates': [-87.7583535876, 41.9939301285]}",-87.7583535876,12,5,,41.9836363072,"{u'type': u'Point', u'coordinates': [-87.7235831853, 41.9836363072]}",-87.7235831853,13,False,2,2019-12-31T23:45:00.000,f9d4d227cf078965e8175dc227d9a32967847bc9,1.962164,388,2019-12-31T23:45:00.000,9.55,1
53,2.55,17031241500,41.9083786693,"{u'type': u'Point', u'coordinates': [-87.6709450752, 41.9083786693]}",-87.6709450752,24,7.5,17031833000,41.8852813201,"{u'type': u'Point', u'coordinates': [-87.6572331997, 41.8852813201]}",-87.6572331997,28,False,0,2020-01-01T00:00:00.000,1980d3350ed63427986b2d1fb0e1a1e3c146e638,2.378705,814,2019-12-31T23:45:00.000,10.05,1
54,2.55,,41.8090844303,"{u'type': u'Point', u'coordinates': [-87.6324245245, 41.8090844303]}",-87.6324245245,37,5,,41.7771962546,"{u'type': u'Point', u'coordinates': [-87.6424975271, 41.7771962546]}",-87.6424975271,68,False,0,2020-01-01T00:00:00.000,0a0db183f3d3447e89f7bbf51adf223be53efa5c,2.384624,413,2019-12-31T23:45:00.000,7.55,1
55,2.55,,41.6897299145,"{u'type': u'Point', u'coordinates': [-87.6690544032, 41.6897299145]}",-87.6690544032,75,5,,,,,,False,2,2019-12-31T23:45:00.000,5a3b610a9cb37f357b9a0ec5619fc4e3f2830ff8,2.627517,460,2019-12-31T23:45:00.000,9.55,1
56,2.55,17031062700,41.9360865352,"{u'type': u'Point', u'coordinates': [-87.6661106945, 41.9360865352]}",-87.6661106945,6,5,17031061000,41.9492209135,"{u'type': u'Point', u'coordinates': [-87.6519703953, 41.9492209135]}",-87.6519703953,6,False,0,2020-01-01T00:00:00.000,56a70815e58faa7a73e466ca7f59c6bd9f0a32d6,1.659575,559,2019-12-31T23:45:00.000,7.55,1
